median,median,median,median
1.99E+07,1.59E+07,1.00E+07,5.27E+06
2.01E+06,2.06E+06,9.18E+05,1.48E+06
1.31E+06,1.28E+06,1.78E+05,2.65E+05
1.31E+06,1.28E+06,1.78E+05,2.65E+05
1.22E+06,1.52E+06,1.76E+06,2.38E+06
1.05E+06,1.01E+06,1.41E+05,4.90E+05
8.22E+05,1.32E+06,3.34E+05,1.91E+05
5.51E+05,6.44E+05,7.65E+04,6.13E+04
5.33E+05,8.67E+05,1.53E+06,5.75E+05
5.30E+05,3.66E+05,4.16E+05,4.07E+05
5.22E+05,1.05E+06,5.08E+05,7.03E+05
4.94E+05,7.54E+05,5.42E+05,1.30E+06
4.94E+05,7.54E+05,5.42E+05,1.30E+06
4.70E+05,5.70E+05,2.86E+05,5.18E+04
4.58E+05,4.78E+05,3.44E+05,1.84E+05
3.61E+05,2.86E+05,9.71E+04,2.09E+05
2.86E+05,3.14E+05,1.69E+06,1.92E+05
2.67E+05,4.63E+05,2.10E+05,5.06E+05
2.63E+05,2.20E+05,1.62E+05,5.26E+05
2.61E+05,2.35E+05,6.75E+05,7.10E+05
2.61E+05,2.35E+05,6.75E+05,7.10E+05
3.53E+05,4.02E+05,1.36E+05,3.49E+05
3.37E+06,1.64E+06,5.46E+05,5.41E+05
3.05E+05,3.67E+05,7.62E+03,2.56E+04
2.33E+05,3.08E+05,2.80E+05,4.57E+05
2.13E+05,2.74E+05,6.73E+04,5.00E+04
2.12E+05,4.15E+05,1.35E+06,5.54E+05
2.12E+05,4.15E+05,1.35E+06,5.54E+05
1.69E+05,2.18E+05,1.10E+05,2.39E+05
1.04E+05,1.41E+05,3.45E+04,6.60E+04
1.04E+05,1.41E+05,3.45E+04,6.60E+04
1.03E+05,6.61E+05,1.40E+05,4.18E+05
1.34E+05,2.49E+05,1.30E+05,1.21E+06
1.16E+05,1.96E+05,1.67E+05,6.28E+05
8.84E+05,8.78E+05,4.70E+05,0 
8.84E+05,8.78E+05,4.70E+05,0 
8.84E+05,8.78E+05,4.70E+05,0 
8.77E+05,5.52E+05,4.08E+04,0 
7.38E+05,4.92E+05,8.31E+05,0 
5.93E+05,4.31E+05,8.44E+05,0 
3.05E+05,3.34E+05,2.06E+05,0 
2.55E+05,4.91E+05,7.22E+05,0 
2.29E+05,2.78E+05,2.64E+05,0 
2.07E+05,2.13E+05,1.66E+05,0 
2.05E+05,2.71E+05,4.27E+04,0 
1.36E+05,1.32E+05,9.60E+04,0 
9.52E+04,4.42E+05,3.34E+05,0 
9.26E+04,1.18E+05,5.94E+04,0 
9.25E+04,1.01E+05,1.47E+05,0 
5.17E+03,6.63E+03,1.04E+07,0 
1.09E+05,8.86E+04,1.95E+05,0 
1.09E+05,8.86E+04,1.95E+05,0 
5.20E+04,9.43E+04,4.99E+04,0 
1.21E+05,1.22E+05,2.28E+05,0 
1.80E+05,2.19E+05,1.70E+05,0 
1.15E+05,6.68E+04,3.86E+04,0 
1.98E+05,0 ,1.46E+05,7.85E+05
1.02E+05,1.39E+05,0 ,8.22E+04
1.55E+05,5.75E+04,0 ,2.16E+05
1.33E+05,1.36E+05,0 ,0 
6.80E+05,9.08E+05,0 ,0 
2.93E+05,2.83E+05,0 ,0 
1.87E+05,2.30E+05,0 ,0 
1.87E+05,2.30E+05,0 ,0 
1.78E+05,1.77E+05,0 ,0 
1.78E+05,1.77E+05,0 ,0 
8.47E+04,1.00E+05,0 ,0 
5.52E+04,5.77E+04,0 ,0 
3.92E+04,6.72E+04,0 ,0 
1.36E+05,1.34E+05,0 ,0 
1.13E+05,1.31E+05,0 ,0 
1.18E+05,0 ,6.20E+05,0 
1.18E+05,0 ,6.20E+05,0 
1.14E+05,0 ,1.89E+05,0 
1.13E+05,0 ,1.48E+05,0 
3.51E+05,0 ,2.45E+05,0 
3.51E+05,0 ,2.45E+05,0 
9.60E+04,0 ,0 ,0 
1.35E+05,0 ,0 ,0 
1.35E+05,0 ,0 ,0 
3.58E+05,0 ,0 ,0 
1.15E+05,0 ,0 ,0 
0 ,0 ,2.75E+05,0 
0 ,0 ,2.10E+05,0 
0 ,0 ,2.49E+05,0 
0 ,0 ,2.10E+05,0 
0 ,0 ,6.12E+04,0 
0 ,0 ,2.00E+05,0 
0 ,0 ,4.10E+05,0 
0 ,0 ,2.00E+05,0 
0 ,0 ,7.11E+06,0 
0 ,0 ,0 ,3.31E+05
